MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,BZ,IL&FSTRANS,IL&FS TRANS NET LTD,         2.35,         2.31,         2.46,         2.24,         2.35,                   196028.38,83427,N, ,101,         4.40,         1.75
N,BZ,IMPEXFERRO,IMPEX FERRO TECH LIMITED,         2.20,         2.24,         2.31,         2.24,         2.31,                     4338.11,1878,N, ,9,         2.42,         1.30
N,BZ,LAKPRE,LAKSHMI PRE SCRE LTD,         5.55,         5.50,         5.50,         5.28,         5.30,                     1594.38,301,N, ,7,         7.64,         4.51
N,BZ,MEP,MEP INFRA. DEVELOPERS LTD,         0.88,         0.88,         0.88,         0.87,         0.87,                    99226.14,114052,N, ,54,         2.87,         0.83
N,BZ,MORARJEE,MORARJEE TEXTILES LIMITED,         7.20,         7.10,         7.55,         7.10,         7.16,                     4218.15,592,N, ,7,        10.16,         5.58
N,BZ,ORTEL,ORTEL COMMUNICATIONS LTD,         1.61,         1.69,         1.69,         1.53,         1.68,                    25151.19,14939,N, ,22,         2.34,         1.15
N,BZ,RAJESHEXPO,RAJESH EXPORTS LTD,       103.92,        98.73,        98.73,        98.73,        98.73,                 14409149.85,145945,N, ,2258,       237.88,        80.38
N,BZ,RHFL,RELIANCE HOME FINANCE LTD,         2.13,         2.15,         2.17,         2.03,         2.09,                  3360845.61,1615997,N, ,1224,         7.78,         1.82
N,BZ,SANWARIA,SANWARIA CONSUMER LIMITED,         0.23,         0.24,         0.24,         0.22,         0.22,                   175077.62,763170,N, ,161,         0.41,         0.19
N,BZ,SETUINFRA,SETUBANDHAN INFRA LTD,         0.48,         0.50,         0.50,         0.46,         0.46,                    78170.01,169505,N, ,62,         1.12,         0.37
N,BZ,SHRENIK,SHRENIK LIMITED,         0.37,         0.38,         0.38,         0.36,         0.37,                   101437.45,269114,N, ,181,         0.65,         0.36
N,BZ,SIMBHALS,SIMBHAOLI SUGARS LTD.,         6.85,         6.51,         7.09,         6.51,         6.70,                   340994.99,52224,N, ,139,        20.15,         6.51
N,BZ,SITINET,SITI NETWORKS LIMITED,         0.37,         0.38,         0.38,         0.37,         0.37,                    92874.11,246476,N, ,162,         0.58,         0.28
N,BZ,SUPREMEENG,SUPREME ENGINEERING LTD,         0.96,         0.99,         1.00,         0.93,         1.00,                   281578.16,284773,N, ,99,         1.54,         0.68
N,BZ,WINSOME,WINSOME YARNS LIMITED,         2.58,         2.58,         2.63,         2.53,         2.60,                   100028.02,39090,N, ,36,         2.63,         1.59
N,ST,ABSMARINE,ABS MARINE SERVICES LTD,       264.25,       251.05,       272.95,       251.05,       256.95,                 99466400.00,393500,N, ,406,       315.50,       138.35
N,ST,ACCORD,ACCORD SYNERGY LIMITED,        64.35,        67.55,        67.55,        67.55,        67.55,                   135100.00,2000,N, ,1,        67.55,        19.85
N,ST,ACCPL,ACCRETION PHARMA LIMITED,       142.85,       143.00,       144.90,       140.00,       144.90,                  1354200.00,9600,N, ,8,       145.85,        53.80
N,ST,AILIMITED,ABHISHEK INTEGRATIONS LTD,        36.10,        37.90,        37.90,        37.90,        37.90,                    56850.00,1500,N, ,1,        76.00,        23.75
N,ST,AKANKSHA,AKANKSHA POWER N INFRA L,        87.20,        84.00,        84.00,        84.00,        84.00,                   252000.00,3000,N, ,3,       133.75,        57.00
N,ST,AKIKO,AKIKO GLOBAL SERVICES L,       265.50,       265.50,       265.50,       254.00,       254.00,                  1032480.00,4000,N, ,5,       299.30,        62.00
N,ST,ALCODIS,ALCOKRAFT DISTILLERIE LTD,        73.20,        72.20,        72.20,        72.20,        72.20,                    45125.00,625,N, ,1,       163.50,        49.00
N,ST,ALLETEC,ALL E TECHNOLOGIES LTD,       143.90,       150.90,       150.90,       141.05,       143.15,                  3589240.00,24400,N, ,53,       423.90,       115.80
N,ST,ANLON,ANLON TECHNOLOGY SOL LTD,       671.00,       660.60,       671.00,       660.60,       671.00,                   796880.00,1200,N, ,3,       681.95,       335.00
N,ST,APEXECO,APEX ECOTECH LIMITED,       188.00,       187.00,       188.00,       184.05,       188.00,                   595240.00,3200,N, ,4,       210.45,       102.05
G,ST,APSISAERO,APSIS AEROCOM LIMITED,       289.00,       284.95,       284.95,       283.25,       283.25,                 13624560.00,48000,N, ,33,       343.75,       147.20
N,ST,ARCIIL,ARC INSULATION & INSU LTD,        45.30,        43.05,        43.05,        43.05,        43.05,                  1119300.00,26000,N, ,17,       145.00,        38.60
N,ST,ARISTO,ARISTO BIO T AND LIFESC L,       104.35,       104.35,       104.35,        99.25,        99.25,                   877480.00,8800,N, ,2,       143.55,        74.30
N,ST,ARUNAYA,ARUNAYA ORGANICS LIMITED,        19.15,        19.60,        20.05,        19.40,        20.05,                  2858200.00,144000,N, ,51,        36.55,        13.90
N,ST,ARVINDPORT,ARVIND PORT AND INFRA LTD,        30.25,        28.75,        28.75,        28.75,        28.75,                   215625.00,7500,N, ,4,        87.40,        27.45
N,ST,ASCOM,ASCOM LEASIN & INVEST LTD,       248.80,       236.40,       260.90,       236.40,       260.00,                   615050.00,2500,N, ,5,       285.00,        76.55
N,ST,ATCENERGY,ATC ENERGIES SYSTEM LTD,        23.05,        24.20,        24.20,        23.50,        23.50,                   288060.00,12000,N, ,9,        94.95,        19.35
N,ST,ATMASTCO,ATMASTCO LIMITED,       169.40,       169.40,       174.00,       164.20,       172.05,                  1764780.00,10400,N, ,23,       268.00,        98.00
N,ST,BALCO,SOLVE PLASTIC PRODUCTS L,        18.65,        17.75,        17.75,        17.75,        17.75,                    42600.00,2400,N, ,2,        36.55,        13.40
N,ST,BAWEJA,BAWEJA STUDIOS LIMITED,        29.80,        29.90,        31.25,        29.90,        31.25,                   123320.00,4000,N, ,5,        75.70,        21.10
N,ST,BEACON,BEACON TRUSTEESHIP LTD,        86.00,        84.10,        88.75,        84.10,        88.45,                   612400.00,7000,N, ,7,       124.80,        50.00
N,ST,BLUEWATER,BLUE WATER LOGISTICS LTD,       273.00,       260.05,       286.65,       260.05,       284.25,                 11091600.00,39000,N, ,39,       303.00,       125.40
N,ST,BMLL,BIO MEDICA LABORATORIES L,       116.70,       118.15,       122.50,       118.15,       122.50,                  2808350.00,23000,N, ,23,       122.50,       101.50
N,ST,BRANDMAN,BRANDMAN RETAIL LIMITED,       162.60,       161.00,       165.00,       160.00,       160.00,                  2598480.00,16000,N, ,18,       243.80,       109.35
N,ST,CELLECOR,CELLECOR GADGETS LIMITED,        36.90,        36.45,        37.20,        36.05,        36.95,                 13978950.00,378000,N, ,32,        43.85,        21.80
N,ST,CHETANA,CHETANA EDUCATION LIMITED,        42.55,        44.60,        44.65,        44.60,        44.65,                   428560.00,9600,N, ,6,        96.50,        30.10
N,ST,CLASSICEIL,CLASSIC ELECTRODE (IND) L,        45.05,        45.05,        47.00,        45.00,        47.00,                   363360.00,8000,N, ,5,       113.90,        34.75
N,ST,COMMITTED,COMMITTED CARGO CARE LTD,       258.00,       245.20,       265.90,       245.10,       265.90,                   604960.00,2400,N, ,3,       303.00,       174.25
N,ST,CUDML,CASH UR DRIVE MARKETING L,       158.05,       157.90,       157.90,       157.90,       157.90,                   157900.00,1000,N, ,1,       167.90,        84.95
N,ST,DELTIC,DELTA AUTOCORP LIMITED,        34.20,        33.10,        35.90,        33.10,        35.80,                   723450.00,21000,N, ,13,        83.95,        28.05
N,ST,DHANSA,DHANSA LABS LIMITED,        25.00,        23.75,        24.90,        23.75,        24.00,                   192800.00,8000,N, ,4,        48.30,        16.20
N,ST,DIVINEHIRA,DIVINE HIRA JEWELLERS LTD,       323.90,       325.00,       325.00,       320.00,       320.00,                   258000.00,800,N, ,2,       346.50,        50.10
N,ST,DIVYADHAN,DIVYADHAN RECYCLING IND L,        30.65,        32.15,        32.15,        32.15,        32.15,                    64300.00,2000,N, ,1,        62.40,        18.25
N,ST,DRONE,DRONE DESTINATION LIMITED,        38.30,        38.30,        39.25,        36.40,        38.35,                  5591475.00,151000,N, ,210,       125.15,        36.00
N,ST,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,        33.75,        32.25,        34.80,        32.25,        34.80,                   572750.00,17500,N, ,4,        56.00,        26.50
N,ST,DURLAX,DURLAX TOP SURFACE LTD,        56.25,        55.55,        55.55,        54.60,        55.05,                   994700.00,18000,N, ,8,        64.35,        30.55
N,ST,E2ERAIL,E TO E TRANS INFRA LTD,       289.00,       295.00,       298.00,       283.10,       294.25,                  7664440.00,26400,N, ,32,       347.10,       171.00
N,ST,ENSER,ENSER COMMUNICATIONS LTD,        15.10,        15.10,        15.10,        15.00,        15.00,                   377000.00,25000,N, ,5,        23.25,         7.80
N,ST,EPWINDIA,EPW INDIA LIMITED,       150.30,       150.30,       150.30,       144.00,       144.00,                   707520.00,4800,N, ,4,       158.50,        98.00
N,ST,ESCONET,ESCONET TECHNOLOGIES LTD,       121.65,       121.65,       121.65,       117.50,       119.80,                  1096020.00,9200,N, ,21,       280.00,        91.25
N,ST,ESFL,ESSEN SPECIALITY FILMS L,       121.00,       120.00,       126.00,       119.25,       123.95,                  1698804.00,14040,N, ,33,       500.00,       109.95
G,ST,EXCELLENT,EXCELLENT WIRES N PACK L,       171.00,       173.00,       173.95,       173.00,       173.95,                  1945200.00,11200,N, ,7,       173.95,        36.90
N,ST,FROG,FROG INNOVATIONS LIMITED,       169.80,       170.00,       177.00,       164.00,       172.45,                  5484280.00,32000,N, ,58,       277.00,       123.50
N,ST,GANESHIN,GANESH INFRAWORLD LIMITED,        79.80,        79.70,        83.75,        79.70,        82.85,                  9639120.00,116800,N, ,89,       279.80,        66.40
N,ST,GIRIRAJ,GIRIRAJ CIVIL DEVP LTD,       154.50,       149.80,       150.00,       149.80,       150.00,                    74950.00,500,N, ,2,       378.00,        96.80
N,ST,GJL,GROVER JEWELLS LIMITED,       113.75,       118.50,       119.40,       118.50,       119.40,                   476560.00,4000,N, ,5,       276.45,        91.40
N,ST,GOLDSTAR,GOLDSTAR POWER LIMITED,         7.85,         7.60,         8.20,         7.60,         7.75,                   701437.50,90000,N, ,8,        11.05,         4.50
N,ST,GPECO,GP ECO SOLUTIONS INDIA L,       439.65,       445.00,       461.60,       445.00,       461.60,                  7936670.00,17400,N, ,57,       616.50,       264.05
N,ST,GRCL,GAYATRI RUBB AND CHEM LTD,       505.50,       502.00,       519.90,       502.00,       519.90,                  1028375.00,2000,N, ,6,       617.00,       306.65
N,ST,GRETEX,GRETEX INDUSTRIES LTD.,       240.90,       251.00,       251.00,       251.00,       251.00,                   188250.00,750,N, ,1,       301.00,       180.50
G,ST,GSTL,GLOBESECURE TECHNO LTD,        20.40,        20.40,        20.40,        20.40,        20.40,                    81600.00,4000,N, ,4,        37.65,         5.95
N,ST,GURUNANAK,GURUNANAK AGRICULTUR IN L,        36.35,        36.35,        36.35,        35.00,        36.00,                   171760.00,4800,N, ,3,        60.00,        22.45
N,ST,IDENTICAL,IDENTICAL BRAINS STUDIO L,        17.20,        16.40,        17.35,        16.40,        17.30,                   202100.00,12000,N, ,5,        50.00,        14.10
N,ST,INNOMET,INNOMET ADVANCED MATERI L,        92.45,        87.85,        97.05,        87.85,        90.00,                  1633080.00,17400,N, ,29,       216.00,        63.15
G,ST,INSPIRE,INSPIRE FILMS LIMITED,        10.25,        10.05,        10.05,        10.05,        10.05,                    20100.00,2000,N, ,1,        22.70,         6.80
N,ST,ITALIANE,ITALIAN EDIBLES LIMITED,        35.50,        37.25,        37.25,        37.25,        37.25,                   447000.00,12000,N, ,6,        49.00,        24.05
N,ST,ITTL,INNOVATIVE TYRE & TUBE LT,        78.30,        76.95,        76.95,        76.95,        76.95,                    16159.50,210,N, ,2,       152.40,        64.45
N,ST,IWARE,IWARE SUPPLYCHAIN SER LTD,       330.50,       344.00,       347.00,       339.00,       339.00,                  2906670.00,8400,N, ,14,       395.00,        70.05
N,ST,JAYBEE,JAY BEE LAMINATIONS LTD,        88.20,        90.35,        91.65,        87.10,        89.40,                  1844000.00,20500,N, ,38,       295.00,        70.00
